1-1-1,7849,8091
2-1-1,1613,1835
3-1-1,19272,19468
4-1-1,13343,13493
4-2-1,2132,2333
5-1-1,25948,26155
6-2-1,11980,12195
7-1-1,9440,9662
8-1-1,25942,26150
9-1-1,22042,22286
10-1-1,19237,19514
12-1-1,52153,52359
13-1-1,15231,15374
14-1-1,22493,22682
15-1-1,19839,20049
16-1-1,3510,3693
17-1-1,17042,17201
18-1-1,18195,18433
18-1-2,37569,37794
19-1-1,11857,12100
20-1-1,18675,18939
21-1-1,1295,1475
22-1-1,38949,39161
23-1-1,16340,16563
24-1-1,3489,3683
25-1-1,9177,9378
26-1-1,2731,2958
27-1-1,22312,22540
28-1-1,9362,9505
29-1-1,30358,30527
31-1-1,16285,16449
32-1-1,13223,13340
33-1-1,11038,11225
34-1-1,27079,27264
35-1-1,14355,14581
36-1-1,82537,83018
36-4-1,4508,4921
39-1-1,90121,90450
40-1-1,83042,83280
41-1-1,86403,86763
43-1-1,627,1103
44-1-1,14476,14794
46-1-1,8869,9355
47-1-1,8809,9134
49-1-1,20939,21360
49-1-2,27953,28339
50-1-1,4942,5249
51-1-1,19889,20186
52-1-1,2008,2368
53-1-1,22142,22560
54-1-1,3673,4088
55-1-1,23437,23985
56-1-1,14408,14810
57-2-1,37060,37410
58-1-1,4259,4654
59-1-1,22166,22643
60-1-1,7626,7911
61-1-1,26361,26775
63-1-1,20871,21134
65-1-1,7747,8153
69-1-1,15175,15556
70-1-1,11723,12099
71-1-1,3292,3630
72-1-1,33072,33688
73-1-1,34824,35268
74-1-1,22297,22836
76-1-1,27392,27941
77-1-1,31284,31817
78-1-1,17867,18341
81-1-1,7033,7561
82-1-1,95090,95534
83-1-1,11406,11746
84-1-1,11315,11699
85-1-1,27729,28072
86-1-1,2122,2431
87-1-1,38290,38661
93-1-1,8628,8960
94-1-1,40068,40442
95-1-1,30669,30983
96-1-1,11302,11602
97-1-1,51060,51506
98-1-1,56584,57007
99-1-1,10802,11034
100-1-1,7451,7729
101-1-1,49632,49909
104-1-1,19939,20109
105-1-1,24828,24971
106-1-1,19796,19960
107-1-1,14849,14982
108-1-1,6812,7172
109-1-1,10707,10909
110-1-1,21900,22097
111-1-1,6645,6835
112-1-1,30029,30188
113-1-1,20977,21184
114-1-1,25172,25504
115-1-1,12543,12930
116-1-1,8247,8586
117-1-1,18651,18999
118-1-1,1754,2021
119-1-1,78850,79136
120-1-1,15445,15883
121-1-1,36237,36661
123-1-1,30755,30973
124-1-1,33403,33602
125-1-1,23488,23691
126-1-1,27937,28157
127-1-1,33414,33615
128-1-1,17974,18160
129-1-1,26030,26276
131-1-1,80874,81287
132-1-1,48904,49380
133-1-1,4419,4775
134-1-1,23374,23808
135-1-1,51732,52113
136-1-1,72168,72634
137-1-1,3384,3821
138-2-1,30027,30323
139-1-1,55990,56414
140-2-1,22558,22972
141-1-1,30670,30866
142-1-1,57572,58237
143-1-1,72490,73019
144-1-1,50541,51096
145-1-1,10264,10832
146-1-1,28533,29084
147-1-1,29685,29833
148-1-1,15439,15578
149-1-1,90031,90497
150-1-1,45916,46425
151-1-1,4214,4555
152-1-1,25129,25424
153-1-1,5208,5605
154-1-1,4849,5194
155-1-1,11892,12168
156-1-1,48013,48233
